Time,Type,OrderId,Size,Price,Direction
34200.017459617,5,0,1,2238200,-1
34200.18960767,1,11885113,21,2238100,1
34200.18960767,1,3911376,20,2239600,-1
34200.18960767,1,11534792,100,2237500,1
34200.18960767,1,1365373,13,2240000,-1
34200.18960767,1,11474176,2,2236500,1
34200.18960767,1,1847685,100,2240000,-1
34200.18960767,1,3920359,15,2236000,1
34200.18960767,1,3578212,4,2240000,-1
34200.18960767,1,4632045,100,2235000,1
34200.18960767,1,3581197,10,2240000,-1
34200.18960767,1,3591155,50,2240000,-1
34200.18960767,1,3689544,100,2240000,-1
34200.18960767,1,3920363,6,2240000,-1
34200.18960767,1,3920364,23,2240000,-1
34200.18960767,1,3920367,6,2240000,-1
34200.18960767,1,3920371,54,2240000,-1
34200.18960767,1,3920373,54,2240000,-1
34200.18960767,1,3920374,15,2240000,-1
34200.18960767,1,4631442,76,2240000,-1
34200.18960767,1,4631569,20,2240000,-1
34200.18960767,1,4632895,15,2240000,-1
34200.18960767,1,4632989,10,2240000,-1
34200.18960767,1,10054324,25,2240000,-1
34200.18960767,1,11349573,100,2240000,-1
34200.18960767,1,11830089,50,2240000,-1
34200.18960767,1,12490851,500,2240000,-1
34200.18960767,1,11561639,20,2242400,-1
34200.190226476,4,11885113,21,2238100,1
34200.190226476,4,11534792,26,2237500,1
34200.372779672,5,0,100,2238400,-1
34200.375671205,5,0,100,2238400,-1
34200.376281126,1,16202496,286,2239600,-1
34200.383971366,5,0,100,2238600,-1
34200.38581571,5,0,100,2238600,-1
34200.387205153,5,0,100,2239200,-1
34200.388463172,5,0,100,2239300,-1
34200.39141294,4,14585251,100,2239500,-1
34200.39141294,4,3911376,20,2239600,-1
34200.39141294,4,16202496,286,2239600,-1
34200.393040066,1,16206910,286,2236200,1
34200.393480733,4,2135294,100,2239900,-1
34200.394405007,1,16207239,100,2239900,-1
34200.398456977,5,0,100,2239700,-1
34200.398595993,5,0,100,2239700,-1
34200.400328982,5,0,100,2239700,-1
34200.401529352,5,0,10,2239700,-1
34200.401529352,4,16207239,90,2239900,-1
34200.401923745,1,16208720,50,2239900,-1
34200.403006021,4,16207239,10,2239900,-1
34200.403006021,4,16208720,50,2239900,-1
34200.403006021,4,1365373,13,2240000,-1
34200.403006021,4,1847685,27,2240000,-1
34200.407876509,4,1847685,73,2240000,-1
34200.407876509,4,2051705,20,2240000,-1
34200.407876509,4,3578212,4,2240000,-1
34200.407876509,4,3581197,3,2240000,-1
34200.411052662,4,3581197,7,2240000,-1
34200.411052662,4,3591155,50,2240000,-1
34200.411052662,4,3689544,43,2240000,-1
34200.412063728,4,3689544,57,2240000,-1
34200.412063728,4,3920363,6,2240000,-1
34200.412063728,4,3920364,23,2240000,-1
34200.412063728,4,3920367,6,2240000,-1
34200.412063728,4,3920371,54,2240000,-1
34200.412063728,4,3920373,54,2240000,-1
34200.417197959,4,3920374,15,2240000,-1
34200.417197959,4,4631442,76,2240000,-1
34200.417197959,4,4631569,20,2240000,-1
34200.417197959,4,4632895,15,2240000,-1
34200.417197959,4,4632989,10,2240000,-1
34200.417197959,4,10054324,25,2240000,-1
34200.417197959,4,11349573,100,2240000,-1
34200.417197959,4,11830089,50,2240000,-1
34200.417197959,4,12490851,183,2240000,-1
34200.419808842,4,12490851,100,2240000,-1
34200.472985274,1,16223046,100,2235100,1
34200.510746959,3,16206910,286,2236200,1
34200.510832215,1,16229815,286,2236300,1
34200.516095821,3,16229815,286,2236300,1
34200.516303927,1,16230863,286,2236900,1
34200.53842474,4,12490851,200,2240000,-1
34200.542125413,3,16230863,286,2236900,1
34200.542384622,1,16235236,286,2236800,1
34200.552351548,3,16235236,286,2236800,1
34200.552475023,1,16237127,286,2236900,1
34200.553434036,3,16237127,286,2236900,1
34200.553557611,1,16237386,286,2237200,1
34200.553743035,5,0,100,2239700,1
34200.567772714,3,16237386,286,2237200,1
34200.567936862,4,12490851,17,2240000,-1
34200.567936862,4,13561719,100,2240000,-1
34200.567936862,4,14482478,100,2240000,-1
34200.567936862,5,0,69,2240000,-1
34200.568240371,1,16240373,100,2240000,-1
34200.569491822,1,16240639,269,2237200,1
34200.570408833,4,16240373,100,2240000,-1
34200.570408833,5,0,190,2240000,-1
34200.570408833,5,0,10,2240000,-1
34200.570714327,1,16240856,100,2240000,-1
34200.571376206,3,16240639,269,2237200,1
34200.574028141,4,16240856,100,2240000,-1
34200.574401291,1,16241642,100,2240000,-1
34200.631353841,1,16252480,100,2239500,-1
34200.703011708,1,16265840,100,2237000,1
34200.771525998,4,16252480,100,2239500,-1
34200.771912718,1,16275687,75,2239500,-1
34200.873785004,1,16289323,100,2238400,1
34200.874913031,4,16289323,100,2238400,1
34200.881781052,3,16265840,100,2237000,1
34200.881781052,1,16290483,100,2238400,1
34200.891497671,4,16275687,15,2239500,-1
34201.290951337,1,16352638,100,2238600,-1
34201.291410923,4,16352638,100,2238600,-1
34201.371436281,4,16275687,60,2239500,-1
34201.395343299,4,16241642,100,2240000,-1
34201.395343299,5,0,90,2240000,-1
34201.470049226,1,16374010,100,2242500,-1
34201.513356112,3,16374010,100,2242500,-1
34201.539803317,1,16380647,100,2242500,-1
34201.55392747,3,16380647,100,2242500,-1
34201.560486641,1,16382642,100,2242500,-1
34201.565364536,3,16382642,100,2242500,-1
34201.572751895,1,16383538,100,2242500,-1
34201.577004003,3,16383538,100,2242500,-1
34201.579598932,1,16383965,100,2242500,-1
34201.584010464,3,16383965,100,2242500,-1
34201.591773777,1,16384800,100,2242500,-1
34201.596293991,3,16384800,100,2242500,-1
34201.59911783,1,16385211,100,2242500,-1
34201.601328494,3,16385211,100,2242500,-1
34201.605874081,1,16385721,100,2237900,1
34202.012069923,5,0,100,2238800,1
34202.012780077,5,0,100,2238800,1
34202.028280054,5,0,100,2238800,1
34202.181467905,1,16426679,100,2242600,-1
34202.279048607,3,16290483,100,2238400,1
34202.279048607,1,16451737,100,2238900,1
34202.313349711,3,16426679,100,2242600,-1
34202.346861302,3,15696244,447,2244000,-1
34202.467700606,1,16476771,100,2242600,-1
34202.571829425,3,16476771,100,2242600,-1
34202.637562259,1,16493721,100,2242600,-1
34202.675623715,3,16493721,100,2242600,-1
34202.70978081,1,16500312,100,2242600,-1
34202.720596233,3,16500312,100,2242600,-1
34202.726136989,1,16501579,100,2242600,-1
34202.729257714,3,16501579,100,2242600,-1
34202.73119099,1,16501999,100,2242600,-1
34202.733438166,3,16501999,100,2242600,-1
34202.735620679,1,16502409,100,2242600,-1
34202.737578658,3,16502409,100,2242600,-1
34202.739873961,1,16502823,100,2242600,-1
34202.74153738,3,16502823,100,2242600,-1
34202.744188364,1,16503383,100,2242600,-1
34202.74588092,3,16503383,100,2242600,-1
34202.748345013,1,16503904,100,2242600,-1
34202.749789842,3,16503904,100,2242600,-1
34202.751637763,1,16504334,100,2242600,-1
34202.753063262,3,16504334,100,2242600,-1
34202.756975089,1,16504897,100,2242600,-1
34202.759954595,3,16504897,100,2242600,-1
34202.761491988,1,16505341,100,2242600,-1
34202.76302835,3,16505341,100,2242600,-1
34202.770674851,1,16506143,100,2242600,-1
34202.771805845,3,16506143,100,2242600,-1
34202.773536788,1,16506421,100,2242600,-1
34202.774936634,3,16506421,100,2242600,-1
34202.776755784,1,16506801,100,2242600,-1
34202.778927801,3,16506801,100,2242600,-1
34203.87899164,1,16610191,100,2242000,-1
34204.256047385,5,0,100,2239200,1
34204.354928214,3,16610191,100,2242000,-1
34204.354928214,1,16657800,100,2241600,-1
34204.414467151,5,0,80,2239100,1
34204.476700094,3,16657800,100,2241600,-1
34204.476700094,1,16667397,100,2241300,-1
34204.572760266,5,0,40,2239100,1
34204.652306988,1,16681306,1100,2241000,-1
34204.763922789,3,16667397,100,2241300,-1
34204.763922789,1,16692138,100,2241000,-1
34205.104260912,3,16692138,100,2241000,-1
34205.104260912,1,16723342,100,2240800,-1
34205.104818539,1,16723399,220,2240800,-1
34205.105828981,3,16723399,220,2240800,-1
34205.107097083,1,16723613,220,2240800,-1
34205.108103666,3,16723613,220,2240800,-1
34205.109400899,1,16723877,220,2240800,-1
34205.109754612,1,16723916,155,2240800,-1
34205.110466704,3,16723877,220,2240800,-1
34205.162100797,1,16728917,100,2240700,-1
34205.197780635,1,16732821,100,2238900,1
34205.304295214,5,0,35,2239000,1
34205.513948001,3,16723342,100,2240800,-1
34205.513948001,1,16763343,100,2240500,-1
34205.621655175,5,0,37,2239000,1
34205.621745869,5,0,128,2239000,1
34205.621745869,5,0,72,2239000,1
34205.888223563,3,16763343,100,2240500,-1
34205.888223563,1,16797917,100,2240300,-1
34205.919446318,1,16799433,100,2240200,-1
34206.151537755,3,16797917,100,2240300,-1
34206.151537755,1,16811014,100,2240200,-1
34206.526371812,3,16385721,100,2237900,1
34206.555393547,1,16830499,100,2238900,1
34207.013700283,3,16723916,155,2240800,-1
34207.02465637,5,0,10,2239300,1
34207.02465637,5,0,28,2239000,1
34207.02465637,5,0,26,2239000,1
34207.232535255,3,16732821,100,2238900,1
34207.232650402,5,0,74,2239000,1
34207.232650402,5,0,113,2239000,1
34207.232650402,4,16451737,13,2238900,1
34207.272071021,3,16451737,87,2238900,1
34207.272071021,1,16866136,87,2239000,1
34207.312164392,3,16866136,87,2239000,1
34207.312164392,1,16867608,87,2239100,1
34207.319504351,4,16799433,71,2240200,-1
34207.35959249,4,16799433,29,2240200,-1
34207.35959249,4,16811014,71,2240200,-1
34207.36638007,1,16871412,220,2240800,-1
34207.371018151,3,16871412,220,2240800,-1
34207.373100011,1,16871956,220,2240800,-1
34207.37434377,3,16871956,220,2240800,-1
34207.375662567,1,16872105,220,2240800,-1
34207.376904006,3,16872105,220,2240800,-1
34207.377749553,1,16872293,220,2240800,-1
34207.378821104,3,16872293,220,2240800,-1
